trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-42.42624585414584,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-64.64096329683638,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-124.16869303607177,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-126.40955890278511,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-88.00239482501702,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-43.81642600775528,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-111.2998441456416,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-169.08227944776803,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-142.43198525147017,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-38.48967697512738,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-49.528462146514975,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-112.94106623071332,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-49.33220594637957,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-29.09631674080907,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-10.703700564058764,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-28.2612111030491,"{0: 21, 1: 1, 2: 0, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-24.14218610191392,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,1.3709002295052857,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-72.72788334799776,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,12.435568241269607,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-11.906759606770656,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,25.039023693094006,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,2,-57.99568538072074,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,8,26.482945198363208,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-90.57909874648253,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-2.961734576978788,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,6,-7.080395188274489,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-47.705172275487115,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-17.361561464356377,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,13,-17.346289296304615,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
