trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.98}",20,7,-22.495664856662607,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.4, 'e': 0.9603999999999999}",25,0,-88.96960255682839,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9411919999999999}",30,0,-38.57009221390613,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.9223681599999999}",30,16,-99.03207149376915,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.4, 'e': 0.9039207967999998}",20,0,-32.90691247212911,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.8858423808639998}",20,0,-39.47368260320712,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.8681255332467198}",30,0,-111.5810558055256,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.8507630225817854}",25,0,-85.6924505737578,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.4, 'e': 0.8337477621301497}",25,0,-94.07322512411068,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.8170728068875467}",20,0,-78.89109472504472,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.8007313507497957}",30,0,-109.93318733253673,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.7847167237347998}",25,3,-167.92783274817205,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 3}",1
13,False,"{'a': 0.4, 'e': 0.7690223892601038}",30,0,-183.68140720301324,"{0: 18, 1: 4, 2: 1, 3: 5, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.7536419414749017}",35,0,-264.552138302057,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 5}",0
15,False,"{'a': 0.4, 'e': 0.7385691026454037}",30,0,-268.31289298344325,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 6}",0
16,False,"{'a': 0.4, 'e': 0.7237977205924956}",35,0,-204.7096752726609,"{0: 23, 1: 4, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.4, 'e': 0.7093217661806457}",30,0,-110.60992720983093,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.6951353308570327}",25,0,-97.67271627021628,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.4, 'e': 0.6812326242398921}",30,0,-76.93800939523113,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.6676079717550942}",20,0,-93.35971379355344,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.6542558123199923}",30,0,-89.93099902680243,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
